,tweet_id,rating_numerator,rating_denominator,rating_value,name,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,stage,breed_prediction,isDog,top_breed
0,666020888022790149,8,10,0.8,None,Welsh_springer_spaniel,0.465074,True,collie,0.156665,True,Shetland_sheepdog,0.0614285,True,null_stage,Welsh_springer_spaniel,Real dog,Other dog breeds
1,666029285002620928,7,10,0.7,None,redbone,0.506826,True,miniature_pinscher,0.0741917,True,Rhodesian_ridgeback,0.07201,True,null_stage,redbone,Real dog,Other dog breeds
2,666033412701032449,9,10,0.9,None,German_shepherd,0.596461,True,malinois,0.138584,True,bloodhound,0.116197,True,null_stage,German_shepherd,Real dog,Other dog breeds
3,666044226329800704,6,10,0.6,None,Rhodesian_ridgeback,0.408143,True,redbone,0.360687,True,miniature_pinscher,0.222752,True,null_stage,Rhodesian_ridgeback,Real dog,Other dog breeds
4,666049248165822465,5,10,0.5,None,miniature_pinscher,0.560311,True,Rottweiler,0.243682,True,Doberman,0.154629,True,null_stage,miniature_pinscher,Real dog,Other dog breeds
5,666050758794694657,10,10,1.0,None,Bernese_mountain_dog,0.651137,True,English_springer,0.263788,True,Greater_Swiss_Mountain_dog,0.0161992,True,null_stage,Bernese_mountain_dog,Real dog,Other dog breeds
6,666051853826850816,2,10,0.2,None,box_turtle,0.933012,False,mud_turtle,0.0458854,False,terrapin,0.0178853,False,null_stage,not_dog,Others,not_dog
7,666055525042405380,10,10,1.0,None,chow,0.692517,True,Tibetan_mastiff,0.0582794,True,fur_coat,0.0544486,False,null_stage,chow,Real dog,chow
8,666057090499244032,9,10,0.9,None,shopping_cart,0.962465,False,shopping_basket,0.0145938,False,golden_retriever,0.00795896,True,null_stage,golden_retriever,Real dog,golden_retriever
9,666058600524156928,8,10,0.8,None,miniature_poodle,0.201493,True,komondor,0.192305,True,soft-coated_wheaten_terrier,0.0820861,True,null_stage,miniature_poodle,Real dog,Other dog breeds
10,666063827256086533,10,10,1.0,None,golden_retriever,0.77593,True,Tibetan_mastiff,0.0937178,True,Labrador_retriever,0.0724266,True,null_stage,golden_retriever,Real dog,golden_retriever
11,666071193221509120,9,10,0.9,None,Gordon_setter,0.503672,True,Yorkshire_terrier,0.174201,True,Pekinese,0.109454,True,null_stage,Gordon_setter,Real dog,Other dog breeds
12,666073100786774016,10,10,1.0,None,Walker_hound,0.260857,True,English_foxhound,0.175382,True,Ibizan_hound,0.0974705,True,null_stage,Walker_hound,Real dog,Other dog breeds
13,666082916733198337,6,10,0.6,None,pug,0.489814,True,bull_mastiff,0.404722,True,French_bulldog,0.0489595,True,null_stage,pug,Real dog,pug
14,666094000022159362,9,10,0.9,None,bloodhound,0.195217,True,German_shepherd,0.0782598,True,malinois,0.0756278,True,null_stage,bloodhound,Real dog,Other dog breeds
15,666099513787052032,8,10,0.8,None,Lhasa,0.58233,True,Shih-Tzu,0.166192,True,Dandie_Dinmont,0.0896883,True,null_stage,Lhasa,Real dog,Other dog breeds
16,666102155909144576,11,10,1.1,None,English_setter,0.298617,True,Newfoundland,0.149842,True,borzoi,0.133649,True,null_stage,English_setter,Real dog,Other dog breeds
17,666104133288665088,1,10,0.1,None,hen,0.965932,False,cock,0.0339194,False,partridge,5.20658e-05,False,null_stage,not_dog,Others,not_dog
18,666268910803644416,10,10,1.0,None,desktop_computer,0.086502,False,desk,0.0855474,False,bookcase,0.0794797,False,null_stage,not_dog,Others,not_dog
19,666273097616637952,11,10,1.1,None,Italian_greyhound,0.176053,True,toy_terrier,0.111884,True,basenji,0.111152,True,null_stage,Italian_greyhound,Real dog,Other dog breeds
20,666287406224695296,9,10,0.9,None,Maltese_dog,0.857531,True,toy_poodle,0.0630638,True,miniature_poodle,0.0255806,True,null_stage,Maltese_dog,Real dog,Other dog breeds
21,666293911632134144,3,10,0.3,None,three-toed_sloth,0.914671,False,otter,0.01525,False,great_grey_owl,0.0132072,False,null_stage,not_dog,Others,not_dog
22,666337882303524864,9,10,0.9,None,ox,0.416669,False,Newfoundland,0.278407,True,groenendael,0.102643,True,null_stage,Newfoundland,Real dog,Other dog breeds
23,666345417576210432,10,10,1.0,None,golden_retriever,0.858744,True,Chesapeake_Bay_retriever,0.0547868,True,Labrador_retriever,0.0142409,True,null_stage,golden_retriever,Real dog,golden_retriever
24,666353288456101888,8,10,0.8,None,malamute,0.336874,True,Siberian_husky,0.147655,True,Eskimo_dog,0.0934124,True,null_stage,malamute,Real dog,Other dog breeds
25,666362758909284353,6,10,0.6,None,guinea_pig,0.996496,False,skunk,0.00240245,False,hamster,0.000460863,False,null_stage,not_dog,Others,not_dog
26,666373753744588802,11,10,1.1,None,soft-coated_wheaten_terrier,0.326467,True,Afghan_hound,0.259551,True,briard,0.206803,True,null_stage,soft-coated_wheaten_terrier,Real dog,Other dog breeds
27,666396247373291520,9,10,0.9,None,Chihuahua,0.978108,True,toy_terrier,0.00939697,True,papillon,0.00457681,True,null_stage,Chihuahua,Real dog,Chihuahua
28,666407126856765440,7,10,0.7,None,black-and-tan_coonhound,0.529139,True,bloodhound,0.24422,True,flat-coated_retriever,0.17381,True,null_stage,black-and-tan_coonhound,Real dog,Other dog breeds
29,666411507551481857,2,10,0.2,None,coho,0.40464,False,barracouta,0.271485,False,gar,0.189945,False,null_stage,not_dog,Others,not_dog
30,666418789513326592,10,10,1.0,Walter,toy_terrier,0.14968,True,papillon,0.148258,True,Chihuahua,0.14286,True,null_stage,toy_terrier,Real dog,Other dog breeds
31,666421158376562688,12,10,1.2,None,Blenheim_spaniel,0.906777,True,cocker_spaniel,0.0903464,True,Shih-Tzu,0.00111687,True,null_stage,Blenheim_spaniel,Real dog,Other dog breeds
32,666428276349472768,7,10,0.7,None,Pembroke,0.371361,True,chow,0.249394,True,Pomeranian,0.241878,True,null_stage,Pembroke,Real dog,Pembroke
33,666430724426358785,6,10,0.6,None,llama,0.505184,False,Irish_terrier,0.104109,True,dingo,0.0620712,False,null_stage,Irish_terrier,Real dog,Other dog breeds
34,666435652385423360,10,10,1.0,None,Chesapeake_Bay_retriever,0.18413,True,chain_saw,0.0567753,False,power_drill,0.0367634,False,null_stage,Chesapeake_Bay_retriever,Real dog,Other dog breeds
35,666437273139982337,7,10,0.7,None,Chihuahua,0.671853,True,beagle,0.12468,True,Saluki,0.0440942,True,null_stage,Chihuahua,Real dog,Chihuahua
36,666447344410484738,9,10,0.9,Scout,curly-coated_retriever,0.322084,True,giant_schnauzer,0.287955,True,Labrador_retriever,0.166331,True,null_stage,curly-coated_retriever,Real dog,Other dog breeds
37,666454714377183233,10,10,1.0,Kreggory,dalmatian,0.278954,True,Labrador_retriever,0.237612,True,Great_Pyrenees,0.171106,True,null_stage,dalmatian,Real dog,Other dog breeds
